Hash,LongName,Parent,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI,MIMS,MISEI,MISM,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS,WarningCritical,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Implementation Rules,Controversial Rules,Design Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,Migration Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Number of Bugs,ccn_change,length_change,tokens_change,operation_type
4d05c9cfd5cc889be77ec16730517d5417438e92,org.elasticsearch.index.fielddata.plain.GeoPointDoubleArrayAtomicFieldData$Empty.<init>()V,org.elasticsearch.index.fielddata.plain.GeoPointDoubleArrayAtomicFieldData$Empty,0.0,0,0,0,0.0,0.0,0,0,10.0,1.0,15.5098,6.21924,6,6,0.861654,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,1,0.0,0,0,0.0,0,3,3,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,modified
e7d352b489272a87b05019869857656de7fb82fc,org.elasticsearch.search.aggregations.InternalOrder.id()B,org.elasticsearch.search.aggregations.InternalOrder,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,0,0,0.0,0,0,0.0,0,4,4,1,0,4,4,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,modified
e7d352b489272a87b05019869857656de7fb82fc,org.elasticsearch.search.aggregations.InternalOrder$CompoundOrder.id()B,org.elasticsearch.search.aggregations.InternalOrder$CompoundOrder,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,0,0,0.0,0,0,0.0,0,4,4,1,0,4,4,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,modified
cde83e363aac2195c2dc0f81bbe348bcfe8b4152,org.elasticsearch.painless.WhenThingsGoWrongTests.testDynamicListWrongIndex()V,org.elasticsearch.painless.WhenThingsGoWrongTests,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,0,0,0.0,0,0,0.0,0,4,5,1,0,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,modified
cde83e363aac2195c2dc0f81bbe348bcfe8b4152,org.elasticsearch.painless.WhenThingsGoWrongTests.testNullPointer()V,org.elasticsearch.painless.WhenThingsGoWrongTests,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,0,0,0.0,0,0,0.0,0,4,5,1,0,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,modified
cde83e363aac2195c2dc0f81bbe348bcfe8b4152,org.elasticsearch.painless.WhenThingsGoWrongTests.testDynamicNPE()V,org.elasticsearch.painless.WhenThingsGoWrongTests,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,0,0,0.0,0,0,0.0,0,4,5,1,0,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,modified
cde83e363aac2195c2dc0f81bbe348bcfe8b4152,org.elasticsearch.painless.WhenThingsGoWrongTests.testDynamicArrayWrongIndex()V,org.elasticsearch.painless.WhenThingsGoWrongTests,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,0,0,0.0,0,0,0.0,0,4,5,1,0,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,modified
cde83e363aac2195c2dc0f81bbe348bcfe8b4152,org.elasticsearch.painless.WhenThingsGoWrongTests.testDynamicWrongArgs()V,org.elasticsearch.painless.WhenThingsGoWrongTests,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,0,0,0.0,0,0,0.0,0,4,5,1,0,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,modified
1e7c42447999421ea789d51279496017d34b15d0,org.elasticsearch.index.shard.ShadowIndexShard.updateGlobalCheckpointOnReplica(J)V,org.elasticsearch.index.shard.ShadowIndexShard,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,modified
598854dd72d7fb01a7e26a9dad065de3deaa5eb7,org.elasticsearch.discovery.zen.fd.FaultDetection$FDConnectionListener.onNodeConnected(Lorg/elasticsearch/cluster/node/DiscoveryNode;)V,org.elasticsearch.discovery.zen.fd.FaultDetection$FDConnectionListener,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,modified
